chunk_id,act_name,act_id,part,chapter,section_number,section_title,category,year,language,token_count,chunk_index,text
sample_workers_2024_2dd6a0bac055,Sample Workers Protection Act 2024,sample_workers_2024,,,preamble,Preamble / Preliminary,Employment,2024,english,74,0,"Sample Workers Protection Act, 2024 ? Page 1

THE SAMPLE WORKERS PROTECTION ACT, 2024

An Act to provide for the protection of workers' rights and welfare in the People's Republic of Bangladesh.

Whereas it is expedient to make provisions for the protection of the rights and welfare of workers in Bangladesh;

It is hereby enacted as follows:"
sample_workers_2024_d4151f9cbdad,Sample Workers Protection Act 2024,sample_workers_2024,Part I: PRELIMINARY,Chapter I: INTRODUCTION AND DEFINITIONS,1,"Short title, extent and commencement",Employment,2024,english,65,1,"Section 1. Short title, extent and commencement
(1) This Act may be called the Sample Workers Protection Act, 2024.
(2) It extends to the whole of Bangladesh.
(3) It shall come into force on such date as the Government may, by notification in the official Gazette, appoint."
sample_workers_2024_4db0510ce2a7,Sample Workers Protection Act 2024,sample_workers_2024,Part I: PRELIMINARY,Chapter I: INTRODUCTION AND DEFINITIONS,2,Definitions,Employment,2024,english,176,2,"Section 2. Definitions
In this Act, unless there is anything repugnant in the subject or context,

(b) ""employer"" means any person who employs, whether directly or through another person, or whether on behalf of himself or any other person, one or more workers in any establishment;
(c) ""establishment"" means any shop, commercial establishment, industrial establishment, factory, farm, plantation, workshop, or premises where any industry, trade, business, occupation or service is carried on;
(d) ""w..."
sample_workers_2024_348c0151a2cc,Sample Workers Protection Act 2024,sample_workers_2024,Part I: PRELIMINARY,Chapter II: EMPLOYMENT CONDITIONS,3,Terms of employment,Employment,2024,english,116,3,"Section 3. Terms of employment
(1) Every employer shall, within thirty days of the employment of a worker, provide the worker with a written contract of employment.
(2) The contract of employment shall contain the following particulars:
(a) the name and address of the employer;
(b) the name, address and date of birth of the worker;
(c) the nature of employment;
(d) the date of commencement of employment;
(e) the amount of wages and the period of payment;
(f) the hours of work;
(g) the leave enti..."
sample_workers_2024_40f5cd25bc5e,Sample Workers Protection Act 2024,sample_workers_2024,Part I: PRELIMINARY,Chapter II: EMPLOYMENT CONDITIONS,4,Maximum working hours,Employment,2024,english,117,4,"Section 4. Maximum working hours
(1) No worker shall be required or allowed to work in an establishment for more than eight hours in any day.
(2) No worker shall be required or allowed to work for more than forty-eight hours in any week.
 ? 1 ?(3) Where a worker works for more than the prescribed hours, the employer shall pay overtime at the rate of twice the ordinary rate of wages.

Sample Workers Protection Act, 2024 ? Page 2

 ? 2 ?

Sample Workers Protection Act, 2024 ? Page 3"
sample_workers_2024_7c4867b40623,Sample Workers Protection Act 2024,sample_workers_2024,Part III: SAFETY AND HEALTH,Chapter V: WORKPLACE SAFETY,12,Cleanliness,Employment,2024,english,51,5,"Section 12. Cleanliness
(1) Every establishment shall be kept clean and free from effluvia arising from any drain, privy or other nuisance.
(2) The floors of every workroom shall be cleaned at least once every week."
sample_workers_2024_d299754f640a,Sample Workers Protection Act 2024,sample_workers_2024,Part III: SAFETY AND HEALTH,Chapter V: WORKPLACE SAFETY,14,Safety of buildings and machinery,Employment,2024,english,89,6,"Section 14. Safety of buildings and machinery
(1) If it appears to the Inspector that any building or part of a building used as an establishment is in such a condition that it is dangerous to human life or safety, the Inspector may serve a notice on the owner or occupier of the building requiring him to take such measures as may be specified in the notice.
(2) Every dangerous part of any machinery shall be securely fenced."
sample_workers_2024_8f2d1f4c6bef,Sample Workers Protection Act 2024,sample_workers_2024,Part III: SAFETY AND HEALTH,Chapter VI: PENALTIES AND ENFORCEMENT,15,Penalties for violations,Employment,2024,english,105,7,"Section 15. Penalties for violations
(1) Whoever contravenes any provision of this Act or any rule made thereunder shall be punishable with imprisonment for a term which may extend to one year, or with fine which may extend to fifty thousand taka, or with both.
(2) Where a contravention is committed by a company, every person who at the time of the contravention was in charge of and responsible to the company for the conduct of the business shall be deemed to be guilty."
sample_workers_2024_9736bc975f28,Sample Workers Protection Act 2024,sample_workers_2024,Part III: SAFETY AND HEALTH,Chapter VI: PENALTIES AND ENFORCEMENT,16,Powers of Inspectors,Employment,2024,english,90,8,"Section 16. Powers of Inspectors
(1) An Inspector may, for the purpose of carrying out the provisions of this Act:
(a) enter any premises which is used as an establishment;
(b) examine any person found in such premises;
(c) require the production of any register, record or document;
(d) take copies of such registers, records or documents;
(e) seize any register, record or document which may be material evidence."
sample_workers_2024_ffa5969e779a,Sample Workers Protection Act 2024,sample_workers_2024,Part III: SAFETY AND HEALTH,Chapter VI: PENALTIES AND ENFORCEMENT,17,Complaints and proceedings,Employment,2024,english,86,9,"Section 17. Complaints and proceedings
(1) Any worker may present a complaint to the Inspector if the employer fails to comply with any provision of this
Act.
(2) The Inspector shall, within thirty days of receipt of the complaint, inquire into the matter and pass orders thereon.
(3) An appeal against the order of the Inspector shall lie to the Labour Court within thirty days.
 ? 3 ?"
